time,open,high,low,close,volume
2021-10-14 13:00:00,143.1,143.2901,143.0564,143.29,75574
2021-10-14 12:45:00,142.97,143.14,142.89,143.12,62220
2021-10-14 12:30:00,143.12,143.185,142.9,142.94,64014
2021-10-14 12:15:00,142.955,143.17,142.955,143.13,59726
2021-10-14 12:00:00,142.94,143.12,142.86,142.95,108092
2021-10-14 11:45:00,142.77,142.95,142.73,142.95,126436
2021-10-14 11:30:00,142.88,142.93,142.7,142.77,85533
2021-10-14 11:15:00,143.02,143.11,142.81,142.85,89746
2021-10-14 11:00:00,142.51,143.07,142.51,143.04,89026
2021-10-14 10:45:00,142.73,142.87,142.43,142.47,104287
2021-10-14 10:30:00,142.69,142.88,142.6,142.71,88163
2021-10-14 10:15:00,142.18,142.7813,142.18,142.66,153168
2021-10-14 10:00:00,141.64,142.24,141.63,142.14,126948
2021-10-14 09:45:00,141.04,141.8,141.01,141.63,178233
2021-10-14 09:30:00,141.41,141.41,140.4,140.41,6173
2021-10-14 09:15:00,141.46,141.46,141.46,141.46,320
2021-10-14 09:00:00,141.54,141.54,141.41,141.41,422
2021-10-14 08:45:00,141.5,141.64,141.5,141.6,671
2021-10-14 08:30:00,141.5,141.5,141.5,141.5,316
2021-10-14 08:15:00,141.47,141.55,141.47,141.55,545
2021-10-14 07:45:00,141.5,141.53,141.5,141.53,273
2021-10-14 07:15:00,141.5,141.5,141.5,141.5,258
2021-10-13 18:30:00,140.8,140.8,140.8,140.8,107
2021-10-13 17:45:00,140.8,140.8,140.8,140.8,200
2021-10-13 16:30:00,141.45,141.45,141.45,141.45,104
2021-10-13 16:15:00,140.76,140.76,140.76,140.76,98901
2021-10-13 16:00:00,140.655,140.93,140.65,140.79,315270
2021-10-13 15:45:00,140.74,140.875,140.64,140.65,69545
